peak	seqnames	start	end	annotation	distanceToTSS	SYMBOL	GENENAME
chr9:37323301-37323801	chr9	37323301	37323801	Exon (ENSMUST00000217440.1/ENSMUST00000217440.1, exon 3 of 3)	24556	Ccdc15	coiled-coil domain containing 15
chr9:37636635-37637135	chr9	37636635	37637135	Intron (ENSMUST00000213126.1/22619, intron 8 of 10)	-5545	Siae	sialic acid acetylesterase
chr9:40631892-40632392	chr9	40631892	40632392	Distal Intergenic	-53570	Clmp	CXADR-like membrane protein
chr9:41490056-41490556	chr9	41490056	41490556	Intron (ENSMUST00000233562.1/73144, intron 6 of 6)	14996	Mir100hg	Mir100 Mirlet7a-2 Mir125b-1 cluster host gene
chr9:53547768-53548268	chr9	53547768	53548268	Intron (ENSMUST00000035850.7/244879, intron 2 of 17)	10721	Npat	nuclear protein in the AT region
chr9:53640851-53641351	chr9	53640851	53641351	Intron (ENSMUST00000166367.7/75717, intron 6 of 17)	5461	Cul5	cullin 5
chr9:57390932-57391432	chr9	57390932	57391432	Intron (ENSMUST00000215961.1/66812, intron 4 of 4)	29886	Ppcdc	phosphopantothenoylcysteine decarboxylase
chr9:67334004-67334504	chr9	67334004	67334504	Exon (ENSMUST00000040025.13/70549, exon 25 of 58)	-3357	Tln2	talin 2
chr9:68016570-68017070	chr9	68016570	68017070	Distal Intergenic	8644	Gm20745	predicted gene, 20745
chr9:70581240-70581740	chr9	70581240	70581740	Exon (ENSMUST00000216816.1/66660, exon 14 of 21)	5832	Sltm	SAFB-like, transcription modulator
chr9:72485208-72485708	chr9	72485208	72485708	Promoter (1-2kb)	1087	Tex9	testis expressed gene 9
chr9:73757475-73757975	chr9	73757475	73757975	Exon (ENSMUST00000184666.7/208898, exon 6 of 33)	175592	Unc13c	unc-13 homolog C
chr9:74366063-74366563	chr9	74366063	74366563	Distal Intergenic	91929	Wdr72	WD repeat domain 72
chr9:75223586-75224086	chr9	75223586	75224086	3' UTR	-7934	Myo5c	myosin VC
chr9:76715556-76716056	chr9	76715556	76716056	Distal Intergenic	-148440	Fam83b	family with sequence similarity 83, member B
chr9:77452288-77452788	chr9	77452288	77452788	Exon (ENSMUST00000183873.7/214345, exon 9 of 14)	-9797	Lrrc1	leucine rich repeat containing 1
chr9:79215950-79216450	chr9	79215950	79216450	Intron (ENSMUST00000215508.1/ENSMUST00000215508.1, intron 1 of 1)	302852	Gm10635	predicted gene 10635
chr9:82048847-82049347	chr9	82048847	82049347	Intron (ENSMUST00000189832.6/75033, intron 4 of 4)	185138	Mei4	meiotic double-stranded break formation protein 4
chr9:83258197-83258697	chr9	83258197	83258697	Distal Intergenic	-111512	Hmgn3	high mobility group nucleosomal binding domain 3
chr9:86030722-86031222	chr9	86030722	86031222	Distal Intergenic	187361	Tpbg	trophoblast glycoprotein
chr9:88498230-88498730	chr9	88498230	88498730	Distal Intergenic	-15656	Syncrip	synaptotagmin binding, cytoplasmic RNA interacting protein
chr9:90931441-90931941	chr9	90931441	90931941	Distal Intergenic	-430472	Zic4	zinc finger protein of the cerebellum 4
chr9:92055626-92056126	chr9	92055626	92056126	Distal Intergenic	-136810	Plscr5	phospholipid scramblase family, member 5
chr9:92617703-92618203	chr9	92617703	92618203	Distal Intergenic	22358	Plod2	procollagen lysine, 2-oxoglutarate 5-dioxygenase 2
chr9:92666338-92666838	chr9	92666338	92666838	Distal Intergenic	-50618	4933400C23Rik	RIKEN cDNA 4933400C23 gene
chr9:93010557-93011057	chr9	93010557	93011057	Distal Intergenic	-4818	1700034K08Rik	RIKEN cDNA 1700034K08 gene
chr9:94558143-94558643	chr9	94558143	94558643	Distal Intergenic	-20062	Dipk2a	divergent protein kinase domain 2A
chr9:95578175-95578675	chr9	95578175	95578675	Distal Intergenic	18518	Paqr9	progestin and adipoQ receptor family member IX
chr9:96054457-96054957	chr9	96054457	96054957	3' UTR	-64405	Gk5	glycerol kinase 5
chr9:98943900-98944400	chr9	98943900	98944400	Distal Intergenic	9884	Foxl2os	forkhead box L2, opposite strand
chr9:100450569-100451069	chr9	100450569	100451069	Intron (ENSMUST00000187637.1/ENSMUST00000187637.1, intron 1 of 1)	10666	Il20rb	interleukin 20 receptor beta
chr9:101282162-101282662	chr9	101282162	101282662	Distal Intergenic	-30367	Ppp2r3a	protein phosphatase 2, regulatory subunit B'', alpha
chr9:111396577-111397077	chr9	111396577	111397077	Distal Intergenic	10233	Trank1	tetratricopeptide repeat and ankyrin repeat containing 1
chr9:112394039-112394539	chr9	112394039	112394539	Intron (ENSMUST00000216779.1/ENSMUST00000216779.1, intron 1 of 1)	137465	2900079G21Rik	RIKEN cDNA 2900079G21 gene
chr9:112539322-112539822	chr9	112539322	112539822	Distal Intergenic	282748	2900079G21Rik	RIKEN cDNA 2900079G21 gene
chr9:112581975-112582475	chr9	112581975	112582475	Distal Intergenic	325401	2900079G21Rik	RIKEN cDNA 2900079G21 gene
chr9:116702579-116703079	chr9	116702579	116703079	Intron (ENSMUST00000111773.9/207181, intron 7 of 14)	119727	Rbms3	RNA binding motif, single stranded interacting protein
chr9:118245669-118246169	chr9	118245669	118246169	Distal Intergenic	95438	Gm17399	predicted gene, 17399
chr9:123238561-123239061	chr9	123238561	123239061	Distal Intergenic	21703	Tmem158	transmembrane protein 158
chr9:123579996-123580496	chr9	123579996	123580496	Intron (ENSMUST00000026270.8/83493, intron 13 of 19)	-5742	Sacm1l	SAC1 suppressor of actin mutations 1-like (yeast)
chr9:123605257-123605757	chr9	123605257	123605757	Intron (ENSMUST00000026273.9/22599, intron 5 of 10)	18769	Sacm1l	SAC1 suppressor of actin mutations 1-like (yeast)
chr9:123964633-123965133	chr9	123964633	123965133	Intron (ENSMUST00000026911.5/12768, intron 1 of 1)	3559	Ccr1	C-C motif chemokine receptor 1
chrUn_JH584304:38285-38785	chrUn_JH584304	38285	38785	Distal Intergenic	20882	Pisd-ps3	phosphatidylserine decarboxylase, pseudogene 3
chrX:9809554-9810054	chrX	9809554	9810054	Distal Intergenic	-36874	H2ap	H2A.P histone
chrX:13306432-13306932	chrX	13306432	13306932	Distal Intergenic	18647	Ddx3x	DEAD box helicase 3, X-linked
chrX:45129850-45130350	chrX	45129850	45130350	Distal Intergenic	38946	Prr32	proline rich 32
chrX:51078791-51079291	chrX	51078791	51079291	Distal Intergenic	48079	Mbnl3	muscleblind like splicing factor 3
chrX:57309840-57310340	chrX	57309840	57310340	Intron (ENSMUST00000033468.10/73341, intron 2 of 21)	-8981	Arhgef6	Rac/Cdc42 guanine nucleotide exchange factor 6
chrX:69795937-69796437	chrX	69795937	69796437	Intron (ENSMUST00000033532.6/14266, intron 8 of 19)	-60258	Aff2	AF4/FMR2 family, member 2
chrX:72887889-72888389	chrX	72887889	72888389	Distal Intergenic	28467	Cetn2	centrin 2
chrX:76141206-76141706	chrX	76141206	76141706	Distal Intergenic	-122598	Cldn34b3	claudin 34B3
chrX:88141889-88142389	chrX	88141889	88142389	Distal Intergenic	-26244	Il1rapl1	interleukin 1 receptor accessory protein-like 1
chrX:101914121-101914621	chrX	101914121	101914621	Intron (ENSMUST00000125115.1/100042480, intron 1 of 1)	-47176	Nhsl2	NHS like 2
chrX:109231708-109232208	chrX	109231708	109232208	Distal Intergenic	34950	Tasl2	TLR adaptor interacting with endolysosomal SLC15A4 2
chrX:138437947-138438447	chrX	138437947	138438447	Intron (ENSMUST00000113063.7/60367, intron 5 of 10)	-228367	Tex13a	testis expressed 13A
chrX:140838188-140838688	chrX	140838188	140838688	Distal Intergenic	-24755	Tex13b	testis expressed 13B
chrX:160307548-160308048	chrX	160307548	160308048	Distal Intergenic	-82642	Adgrg2	adhesion G protein-coupled receptor G2
